Phylum,2021-CF2A-114,2021-CF2A-124,2021-CF2A-134,2021-CF2A-314,2021-CF2A-324,2021-CF2A-334,2021-JF2A-114,2021-JF2A-124,2021-JF2A-134,2021-KF2A-214,2021-KF2A-224,2021-KF2A-234,2021-CF2A-1314,2021-CF2A-1324,2021-CF2A-1334,2021-CF2A-3314,2021-CF2A-3324,2021-CF2A-3334,2021-JF2A-1314,2021-JF2A-1324,2021-JF2A-1334,2021-KF2A-2314,2021-KF2A-2324,2021-KF2A-2334,2021-CF2A-112,2021-CF2A-122,2021-CF2A-312,2021-CF2A-322,2021-CF2A-332,2021-JF2A-112,2021-JF2A-122,2021-JF2A-132,2021-KF2A-212,2021-KF2A-222,2021-KF2A-242,2021-CF2A-1312,2021-CF2A-1322,2021-CF2A-1332,2021-CF2A-3312,2021-CF2A-3332,2021-JF2A-1312,2021-JF2A-1322,2021-JF2A-1332,2021-KF2A-2312,2021-KF2A-2322,2021-KF2A-2332,2021-CF2E-112P,2021-CF2E-312P,2021-JF2E-112P,2021-KF2E-212P,2021-CF2E-112B,2021-CF2E-312B,2021-JF2E-112B,2021-KF2E-212B,2021-CF2E-111,2021-CF2E-311,2021-JF2E-111,2021-KF2E-211,2021-CF2H-314,2021-CF2H-324,2021-JF2H-114,2021-JF2H-124,2021-JF2H-414,2021-JF2H-424,2021-KF2H-214,2021-KF2H-224,2021-CF2H-112,2021-CF2H-132,2021-JF2H-122,2021-JF2H-412,2021-JF2H-422,2021-KF2H-212,2021-KF2H-222,2021-KF2H-232
Desulfobacterota_I,0.636413685,0.00723575,0.035160136,0.014823753,0.01517794,0.015290525,0.115169468,0.168038417,0.200024505,0.134198316,0.34254185,0.088808725,0.239937847,0.197744398,0.174333542,0.318757937,0.549042718,0.194174532,0.213080205,0.286292777,0.281814598,0.228234567,0.259744317,0.160000071,0.062295176,0.089150746,0.151313448,0.065871439,0.036260941,0.118791265,0.081979177,0.05460492,0.031143953,0.016709401,0.030997549,0.020761014,0.015883017,0.026459943,0.075200102,0.090902283,0.010122233,0.169498092,0.009211864,0.05316337,0.041238606,0.041607462,0.198734838,0.127319153,0.122486418,0.104801447,0.018261309,0.080863198,0.052094579,0.06122316,0.774310279,0.318047018,0.108232883,4.70107475,0.207364274,0.308776671,1.086046426,0.63723137,0.81588368,1.076848945,0.277972314,0.143715267,0.042396657,0.029747082,3.13138939,0.15142687,0.018930468,0.033262347,0.058323035,0.035905702
Campylobacterota,1.909827081,0.010753498,0.052721339,0.190229124,0.136975495,0.103426096,0.105341444,0.017441701,0.053640766,0.097200885,0.48180463,0.062599645,0.323031316,0.094746185,0.196611059,0.39896253,0.216355908,0.331155836,0.082544669,0.041723064,0.256017032,0.063910058,0.065031526,0.0713651,0.009958962,0.016762117,0.08466249,0.087345622,0.006454428,0.014213128,0.027069189,0.00865338,0.030858988,0.027518593,0.01542315,0.314558372,0.426104336,0.009928387,0.013330005,0.015458126,0.008559611,0.003867898,0.007999697,0.070171401,0.074752149,0.051074058,0.102360647,0.962961808,0.064122201,0.090077203,0.018559794,0.533398974,0.024432959,0.018650079,0.29294033,0.645396105,0.003232334,0.733592223,0.002811257,0.004103924,0.002395197,0.00351543,0.003028359,0.00454912,0.013782338,0.001968447,0.001989436,0.004005342,0.023560661,0.002446031,0.002731813,0.001380988,0.002051184,0.027681184
Patescibacteria,0.120511424,0.01230191,0.012373431,0.008418117,0.012175928,0.01770072,0.006764569,0.007554656,0.022631679,0.022487348,0.016695086,0.01319089,0.020195084,0.026497633,0.023474836,0.033923671,0.022376402,0.016821795,0.022142237,0.02447187,0.028369278,0.014174859,0.02517862,0.026991209,0.048478919,0.070027095,0.078975585,0.060518386,0.018215614,0.031830921,0.025251564,0.019623454,0.179251119,0.113537282,0.102693398,0.034428779,0.031301528,0.020659707,0.021578458,0.02408985,0.041407558,0.020967103,0.099423312,0.033782047,0.028929339,0.030728389,0.264389604,0.16543061,0.057872341,0.048221643,0.666384794,0.130550987,0.063728517,0.018956484,0.18409695,3.765964982,2.121788321,0.096778159,0.005464594,0.008919856,0.005208937,0.007467149,0.006055712,0.008665112,0.013410142,0.008170349,0.008273244,0.009115804,0.219900583,0.006173769,0.004642771,0.007381747,0.010637273,0.018740753
Fibrobacterota,0.003520557,0.002085814,0.001518161,1.609868951,1.139522991,1.259678911,0.004930121,0.453326818,0.002930237,0.622972197,0.036198475,0.03495524,0.187416307,0.140328429,0.104011212,0.031976068,0.040246573,0.094299055,0.102720667,0.224792832,0.125274607,0.005400764,0.005680432,0.018017087,0.00427345,0.007367649,0.007501995,0.004437548,0.002811785,0.006388364,0.004189259,0.002293339,0.004148344,0.003474837,0.003552445,0.004337439,0.002957878,0.003844687,0.004185229,0.003745885,0.003982761,0.003209521,0.003728208,0.005237528,0.005150478,0.004135757,0.012426277,0.061439487,0.067388335,0.014618593,0.008294948,0.020557477,0.010446048,0.005506695,0.027668961,0.029997973,0.01189931,0.031775594,0.001989018,0.002330774,0.001318007,0.002319197,0.001890233,0.002347591,0.001562804,0.001434123,0.002092656,0.002120515,0.009574296,0.001640017,0.001668181,0.001527875,0.001603279,0.002958249
Halobacteriota,0.001352276,0.001099872,0.00105359,0.000521,0.001049217,0.001662815,0.00026438,0.0004417,0.001832347,0.002317117,0.001301654,0.000944057,0.001253835,0.001569182,0.001951902,0.001342337,0.001911894,0.001445862,0.001879487,0.001541729,0.002272167,0.000902201,0.002209151,0.001895072,0.006248868,0.006873935,0.011337236,0.002626627,0.002186142,0.018630569,0.007636164,0.006250333,0.003226302,0.001394653,0.001769556,0.000460726,0.0003243,0.00024028,0.00120015,0.001466699,0.0003244,0.000437201,0.000464932,0.001746079,0.001328058,0.001381062,0.007496406,0.015595832,0.002988241,0.002462225,0.001050413,0.003145853,0.07325648,0.001071025,0.027810941,1.074227395,4.02563371,0.392492474,0.000539629,0.000985403,0.000420461,0.000883911,0.000680897,0.00098123,0.0005353,0.0003584,0.001292734,0.000857981,0.034197137,0.0003293,0.000494749,0.001151754,0.000543428,0.001474322
Planctomycetota,1.750084645,0.00116059,0.002315629,0.002556578,0.002778174,0.003097344,0.070801941,0.138228757,0.050906158,0.068431168,0.061282189,0.071702364,0.089538209,0.193107269,0.051359549,0.085322752,0.12870448,0.04766527,0.100361997,0.153915415,0.055617431,0.008450052,0.011663416,0.011344604,0.002193154,0.004045079,0.002757727,0.000868323,0.000672187,0.008080644,0.003275958,0.00215606,0.001719263,0.001695235,0.00134032,0.00399534,0.001085992,0.009578553,0.007814125,0.011826984,0.001490562,0.001834064,0.001321886,0.006176289,0.007478567,0.005218007,0.004063947,0.009485796,0.026408725,0.026042898,0.000866048,0.018597108,0.027206087,0.017620835,0.018974075,1.632388437,0.346818726,0.044175443,0.002724797,0.003469851,0.001345848,0.002365111,0.00244102,0.002410951,0.000310993,0.000633779,0.000560161,0.000730478,0.002703321,0.0002533,0.000355304,0.000429832,0.000670752,0.000806828
Desulfobacterota,0.003534395,0.001619002,0.001414563,0.000986443,0.001806681,0.002704574,0.0006571,0.001027632,0.002490363,0.003699632,0.001931363,0.001543845,0.002095271,0.00294873,0.003002042,0.002943868,0.003205544,0.002454814,0.003080271,0.002161518,0.003003185,0.005419801,0.007112827,0.002736785,0.004193597,0.005065829,0.008711389,0.006659802,0.002118063,0.008513842,0.003819016,0.002828676,0.003487956,0.003533026,0.003412485,0.001920538,0.001203984,0.000421813,0.003282698,0.004095213,0.00027581,0.00035077,0.000622,0.005901811,0.00432037,0.003422398,0.028079198,0.010630967,0.002661439,0.003103543,0.003648501,0.004727057,0.005168326,0.001664749,0.044253665,4.760965548,0.202133007,0.023903617,0.000787502,0.001549823,0.001013362,0.001446056,0.001350942,0.001828364,0.001063442,0.000691859,0.002027005,0.001376585,0.005641185,0.002674279,0.00335802,0.001749893,0.000497148,0.001895905
Synergistota,0.05114726,0.00285681,0.005487152,0.010367463,0.012127543,0.012851662,0.014960021,0.251432995,0.014109161,0.021567855,0.012663095,0.014279136,0.015929278,0.011640349,0.024450001,0.014312906,0.016980474,0.012038246,0.019298696,0.006805124,0.010533467,0.008014575,0.010308325,0.007264692,0.002600375,0.004390231,0.022295241,0.016864603,0.002035503,0.006936098,0.011250659,0.003364702,0.005642897,0.005018037,0.003131298,0.001190341,0.000825968,0.001228269,0.003951627,0.005222761,0.00033458,0.00044211,0.0007684,0.003292592,0.003142915,0.00276342,0.00681274,0.022951334,0.022027785,0.03604548,0.001617509,0.012351069,0.008324564,0.003626383,0.03980911,2.184918444,0.036319884,1.711205863,0.009102841,0.007658195,0.004765262,0.008666942,0.020933894,0.01102477,0.003665064,0.002821142,0.001448529,0.00116506,0.006799635,0.000834095,0.000929849,0.00115385,0.000447567,0.001576197
Acidobacteriota,0.001457276,0.000314734,0.00050496,0.000757305,0.000948991,0.001013065,0.000439742,0.000532824,0.000952038,0.001413705,0.000842742,0.000834206,0.000709754,0.000821002,0.00087468,0.000867735,0.000993456,0.000876787,0.000837259,0.00067443,0.001035629,0.000609412,0.001021016,0.000706168,0.001718286,0.001934006,0.002248961,0.001735901,0.001042404,0.003202082,0.002678723,0.001729083,0.002964083,0.003092689,0.003290455,0.002014838,0.001368684,0.001690272,0.005084674,0.003130637,0.001672228,0.00243401,0.001589358,0.002602332,0.002150148,0.001992113,0.00156439,0.005255084,0.001618038,0.001215026,0.001075122,0.004178239,0.016547631,0.001068398,0.001355711,0.08843618,4.47041886,0.005035095,0.000289618,0.000453891,0.000221816,0.000411278,0.00048655,0.000449181,0.0002249,0.000248327,0.001791176,0.001908697,0.007706101,0.002041352,0.002009163,0.001631792,0.001733463,0.001617397
Myxococcota,0.424240339,0.002151743,0.00274379,0.074715287,0.050863022,0.064887282,0.00397609,0.029935967,0.008194389,0.044319261,0.121771573,0.101995379,0.426687338,0.563371,0.113425652,0.033158768,0.126444814,0.149268964,0.012249439,0.025002378,0.028310754,0.020024528,0.032747836,0.024252229,0.003174345,0.005057199,0.004685392,0.00170554,0.002357632,0.00486028,0.004291032,0.002422874,0.004018869,0.004099922,0.003692699,0.002958739,0.001812662,0.00702898,0.004849353,0.003848834,0.001580036,0.001756432,0.001631138,0.003949178,0.008848477,0.006884393,0.012987119,0.022349331,0.029707005,0.02553054,0.002141676,0.029150992,0.010968638,0.005751563,0.007901177,0.339266966,1.05902474,0.020521578,0.001748764,0.002099166,0.001103483,0.001392373,0.001539574,0.001883528,0.001108539,0.001310904,0.002801149,0.002069544,0.04422293,0.000819555,0.00075781,0.002871492,0.001751818,0.004758828
Other,0.751644486,0.056123497,0.071224927,0.109199429,0.120195622,0.135767926,0.46911156,0.210973909,0.307086018,0.759511321,0.301594045,0.442726362,0.377310712,0.311535612,0.324878254,0.206990422,0.778575038,1.183804904,0.185064615,0.249965511,0.277660592,0.251875272,0.275142669,0.622333045,0.0972458,0.13178729,0.182841108,0.112467774,0.026652167,0.087594315,0.083547129,0.070496355,0.336451949,0.182099952,0.156505098,0.061264503,0.123095128,0.078522082,0.149868719,0.130884417,0.039963134,0.044564177,0.040644509,0.456507506,0.256914259,0.154173674,0.151136649,0.276837793,0.220744588,0.162390482,0.035333006,0.227741488,0.158167301,0.249862398,0.319716617,4.082057127,6.174593132,0.3849292,0.015453938,0.019445306,0.010485888,0.016851846,0.014994074,0.019399947,0.011643651,0.016818014,0.01508694,0.021780945,0.075757068,0.013964378,0.015074092,0.013828913,0.017484141,0.023267846
